Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34928122,Artemis,Andy Weir,"Weir, Andy",,553448129,9.78055E+12,0,3.67,Crown,Hardcover,305,2017,2017,,07/09/2017,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
2956,The Adventures of Huckleberry Finn,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Walter Trier",142437174,9.78014E+12,5,3.82,Penguin Classics,Paperback,327,2002,1884,,05/09/2017,,,read,,,,1,,,0,,,,,
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",Alfredo Crespo,307347974,9.78031E+12,4,3.99,DeBolsillo,Mass Market Paperback,175,2004,1953,,05/09/2017,,,read,,,,1,,,0,,,,,
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,,,4,4.26,HarperCollins,Paperback,767,2002,1956,,05/09/2017,,,read,,,,1,,,0,,,,,
11081370,"To Protect (I, Robot: Reichert #1)",Mickey Zucker Reichert,"Reichert, Mickey Zucker",,451464192,9.78045E+12,4,3.87,Roc Hardcover,Hardcover,400,2011,2011,,05/09/2017,,,read,,,,1,,,0,,,,,
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,"Vinge, Vernor",,812515285,9.78081E+12,5,4.13,Tor Science Fiction,Mass Market Paperback,613,2010,1992,,05/09/2017,,,read,,,,1,,,0,,,,,
17162149,"Crux (Nexus, #2)",Ramez Naam,"Naam, Ramez",,857662961,9.78086E+12,5,4.13,Angry Robot,Paperback,512,2013,2013,,25/04/2017,,,read,,,,1,,,0,,,,,
32542,"A Time to Kill (Jake Brigance, #1)",John Grisham,"Grisham, John",,,,5,4.08,Dell,Paperback,515,2004,1989,,28/05/2017,,,read,,,,1,,,0,,,,,
54479,Around the World in Eighty Days,Jules Verne,"Verne, Jules","Michael Glencross, Brian W. Aldiss",014044906X,9.78014E+12,4,3.94,Penguin Books ,Paperback,252,2004,1872,,28/05/2017,,,read,,,,1,,,0,,,,,
39662,Different Seasons,Stephen King,"King, Stephen",,751514624,9.78075E+12,5,4.34,Warner Books,Mass Market Paperback,560,1995,1982,,28/05/2017,,,read,,,,1,,,0,,,,,
18342,It,Stephen King,"King, Stephen",,451169514,9.78045E+12,5,4.24,Signet,Mass Market Paperback,1090,2002,1986,,28/05/2017,,,read,,,,1,,,0,,,,,
11588,The Shining,Stephen King,"King, Stephen",,450040186,9.78045E+12,4,4.24,New English Library (Hodder & Stoughton) ,Paperback,659,1980,1977,,28/05/2017,,,read,,,,1,,,0,,,,,
960,"Angels & Demons (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,1416524797,9.78142E+12,4,3.91,Pocket Books,Mass Market Paperback,736,2006,2000,,28/05/2017,,,read,,,,1,,,0,,,,,
16304,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,425200450,9.78043E+12,5,4.18,Berkley,Paperback,322,2004,1934,,28/05/2017,,,read,,,,1,,,0,,,,,
